,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{5: (True, 0.07237792015075684), 2: (False, 0.06209421157836914), 3: (True, 0.05850100517272949)}",0.33089518547058105,"['2', '3', '4', '5', '6', '1']",33897,2,"{4: [(1, 3, 3), (2, 3, 2), (3, 6, 4), (4, 6, 1)], 2: [(1, 6, 2), (2, 6, 1)]}"
1,"{5: (True, 0.06376123428344727), 3: (False, 0.060513973236083984), 4: (True, 0.07849669456481934)}",0.34485316276550293,"['4', '6', '2', '1', '3', '5']",33897,3,"{4: [(1, 3, 2), (2, 5, 1), (2, 6, 4), (3, 4, 3)], 3: [(1, 4, 3), (3, 5, 2), (5, 6, 1)]}"
2,"{5: (True, 0.07325220108032227), 3: (False, 0.05690193176269531), 4: (True, 0.058242082595825195)}",0.32655811309814453,"['3', '5', '1', '2', '4', '6']",33897,3,"{4: [(1, 3, 4), (2, 5, 1), (3, 4, 2), (4, 5, 3)], 3: [(1, 3, 3), (2, 4, 2), (4, 5, 1)]}"
3,"{5: (True, 0.0856630802154541), 3: (False, 0.05414986610412598), 4: (True, 0.06376981735229492)}",0.3655209541320801,"['3', '4', '6', '1', '2', '5']",33897,3,"{4: [(1, 3, 1), (2, 4, 3), (3, 5, 2), (3, 6, 4)], 3: [(1, 4, 3), (2, 5, 2), (5, 6, 1)]}"
4,"{5: (True, 0.06737422943115234), 3: (False, 0.09783196449279785), 4: (False, 0.10054302215576172)}",0.4430201053619385,"['2', '6', '3', '4', '1', '5']",33897,4,"{4: [(1, 3, 3), (2, 3, 2), (2, 6, 4), (3, 5, 1)]}"
5,"{5: (True, 0.08196878433227539), 2: (False, 0.10468578338623047), 3: (True, 0.08979988098144531)}",0.47321081161499023,"['4', '3', '2', '5', '1', '6']",33897,2,"{4: [(1, 5, 4), (2, 4, 2), (3, 4, 3), (4, 5, 1)], 2: [(1, 4, 1), (4, 5, 2)]}"
6,"{5: (True, 0.0835580825805664), 3: (False, 0.06917810440063477), 4: (False, 0.09597992897033691)}",0.42391204833984375,"['2', '6', '1', '4', '5', '3']",33897,4,"{4: [(1, 3, 2), (2, 3, 1), (2, 6, 4), (3, 5, 3)]}"
7,"{5: (True, 0.10779476165771484), 2: (False, 0.060713768005371094), 3: (False, 0.07118892669677734), 4: (True, 0.07086586952209473)}",0.4903371334075928,"['2', '3', '1', '6', '5', '4']",33897,3,"{3: [(1, 3, 3), (2, 3, 2), (4, 6, 1)]}"
8,"{5: (True, 0.06394600868225098), 4: (False, 0.0742337703704834)}",0.2672617435455322,"['6', '1', '3', '5', '2', '4']",33897,4,"{4: [(1, 2, 4), (2, 4, 2), (4, 5, 3), (4, 6, 1)]}"
9,"{5: (True, 0.07636094093322754), 3: (False, 0.0643777847290039), 4: (True, 0.06426811218261719)}",0.3472623825073242,"['5', '1', '2', '6', '4', '3']",33897,3,"{4: [(1, 2, 4), (2, 5, 1), (3, 5, 3), (4, 6, 2)], 3: [(1, 3, 2), (1, 4, 3), (3, 6, 1)]}"
