,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{1: (False, 0.12434506416320801), 13: (True, 0.5755100250244141), 8: (True, 0.23398303985595703), 9: (True, 0.2786223888397217), 5: (False, 0.20460176467895508), 6: (True, 0.20966625213623047)}",1.9186630249023438,"['-3', '-6', '-4', '1', '5', '-2']",105520,5,"{12: [(1, 2, 9), (1, 4, 3), (1, 4, 6), (2, 3, 8), (2, 4, 1), (3, 3, 12), (4, 4, 5), (4, 4, 11), (4, 6, 4), (4, 6, 7), (6, 6, 2), (6, 6, 10)], 7: [(1, 3, 2), (1, 3, 4), (1, 3, 5), (2, 2, 6), (2, 5, 3), (5, 6, 1), (5, 6, 7)], 8: [(1, 2, 3), (1, 3, 1), (1, 4, 4), (1, 4, 8), (1, 6, 2), (3, 3, 6), (4, 5, 7), (5, 6, 5)], 5: [(1, 4, 4), (2, 6, 2), (3, 5, 5), (4, 5, 3), (5, 6, 1)]}"
1,"{1: (False, 0.11068582534790039), 12: (True, 0.4110689163208008), 7: (True, 0.29279112815856934), 8: (True, 0.291126012802124), 4: (False, 0.20258188247680664), 5: (False, 0.24608182907104492), 6: (True, 0.24422717094421387)}",2.083498001098633,"['4', '-1', '-6', '3', '-2', '5']",96803,5,"{11: [(1, 4, 6), (1, 5, 9), (2, 2, 2), (2, 2, 11), (2, 3, 1), (2, 5, 4), (2, 6, 5), (3, 5, 3), (3, 6, 7), (3, 6, 8), (5, 6, 10)], 6: [(1, 3, 3), (1, 6, 1), (2, 4, 5), (4, 6, 2), (4, 6, 6), (6, 6, 4)], 7: [(1, 4, 4), (1, 4, 6), (2, 5, 3), (3, 4, 5), (3, 4, 7), (3, 6, 1), (4, 6, 2)], 5: [(1, 2, 2), (2, 4, 1), (3, 3, 3), (3, 5, 4), (3, 6, 5)]}"
2,"{1: (False, 0.10403585433959961), 10: (True, 0.30011487007141113), 5: (False, 0.17128491401672363), 6: (True, 0.1852710247039795)}",1.016942024230957,"['-4', '3', '-5', '6', '-2', '-1']",79369,5,"{9: [(1, 1, 6), (1, 4, 4), (1, 5, 1), (2, 3, 5), (2, 4, 9), (2, 5, 2), (2, 5, 8), (2, 6, 7), (3, 6, 3)], 5: [(1, 3, 3), (1, 4, 4), (2, 6, 5), (3, 6, 1), (4, 5, 2)]}"
3,"{1: (False, 0.1254420280456543), 12: (True, 0.5000040531158447), 7: (True, 0.17553091049194336), 8: (True, 0.17819619178771973), 4: (False, 0.13173627853393555), 5: (True, 0.17292284965515137)}",1.5900380611419678,"['2', '-6', '-5', '3', '1', '4']",96803,4,"{11: [(1, 1, 11), (1, 4, 5), (1, 4, 7), (1, 4, 10), (1, 5, 2), (1, 5, 9), (1, 6, 6), (1, 6, 8), (2, 6, 1), (3, 6, 3), (5, 6, 4)], 6: [(1, 5, 3), (1, 5, 5), (1, 5, 6), (2, 5, 2), (3, 6, 1), (4, 6, 4)], 7: [(1, 2, 5), (1, 3, 1), (2, 6, 2), (2, 6, 4), (2, 6, 6), (4, 6, 7), (5, 5, 3)], 4: [(1, 2, 3), (1, 3, 2), (2, 6, 4), (3, 4, 1)]}"
4,"{1: (False, 0.11071395874023438), 10: (True, 0.6774389743804932), 5: (False, 0.19063591957092285), 6: (True, 0.21645808219909668)}",1.452578067779541,"['1', '6', '-3', '2', '5', '4']",79369,5,"{9: [(1, 1, 2), (1, 1, 5), (1, 5, 4), (1, 6, 9), (2, 2, 1), (2, 2, 8), (3, 4, 7), (4, 5, 3), (5, 6, 6)], 5: [(2, 2, 2), (2, 6, 1), (3, 5, 5), (4, 6, 4), (6, 6, 3)]}"
5,"{1: (False, 0.12392306327819824), 11: (True, 0.17215323448181152), 6: (False, 0.8374760150909424), 7: (True, 0.17131280899047852)}",1.5744538307189941,"['4', '-3', '-6', '2', '-1', '-5']",88086,6,"{9: [(1, 4, 6), (1, 5, 5), (1, 6, 4), (2, 3, 1), (2, 4, 3), (3, 6, 2), (4, 5, 8), (4, 6, 7), (6, 6, 9)], 6: [(1, 1, 6), (1, 4, 2), (2, 2, 1), (3, 6, 4), (4, 6, 5), (5, 5, 3)]}"
6,"{1: (False, 0.10135817527770996), 9: (True, 0.16632294654846191), 5: (True, 0.12474417686462402), 6: (True, 0.14666295051574707), 3: (False, 0.10955810546875), 4: (True, 0.09760618209838867)}",0.9858090877532959,"['4', '-3', '-2', '-1', '-6', '-5']",70652,3,"{8: [(1, 3, 1), (1, 5, 6), (1, 6, 7), (3, 5, 3), (3, 6, 2), (3, 6, 5), (4, 5, 4), (5, 6, 8)], 4: [(1, 3, 1), (1, 5, 3), (1, 6, 4), (4, 6, 2)], 5: [(1, 4, 3), (1, 6, 4), (1, 6, 5), (4, 4, 2), (5, 6, 1)], 3: [(1, 4, 3), (4, 4, 1), (5, 6, 2)]}"
7,"{1: (False, 0.1232309341430664), 11: (True, 0.2388138771057129), 6: (True, 0.13788795471191406), 7: (True, 0.25565600395202637), 4: (False, 0.11791682243347168), 5: (False, 0.26263999938964844)}",1.4190068244934082,"['-5', '-1', '-3', '2', '4', '6']",88086,5,"{10: [(1, 1, 9), (1, 2, 7), (1, 3, 6), (2, 2, 3), (2, 4, 10), (2, 5, 1), (2, 5, 8), (4, 5, 4), (4, 5, 5), (5, 5, 2)], 5: [(1, 2, 4), (2, 4, 3), (4, 4, 1), (4, 4, 5), (4, 5, 2)], 6: [(1, 3, 4), (2, 2, 1), (2, 3, 3), (2, 5, 2), (2, 5, 6), (3, 5, 5)]}"
8,"{1: (False, 0.1138920783996582), 11: (True, 0.2767050266265869), 6: (True, 0.13692402839660645), 7: (True, 0.287168025970459), 4: (False, 0.11962127685546875), 5: (False, 0.20113587379455566)}",1.4215538501739502,"['-6', '1', '4', '-5', '-2', '-3']",88086,5,"{10: [(1, 2, 9), (1, 3, 6), (1, 5, 4), (1, 6, 2), (1, 6, 8), (2, 2, 10), (2, 3, 3), (2, 3, 5), (2, 3, 7), (6, 6, 1)], 5: [(1, 6, 2), (2, 6, 3), (3, 5, 1), (3, 5, 5), (4, 4, 4)], 6: [(1, 4, 5), (1, 5, 1), (3, 5, 3), (4, 4, 6), (4, 6, 2), (5, 6, 4)]}"
9,"{1: (False, 0.12831377983093262), 10: (True, 0.23464512825012207), 5: (False, 0.1822950839996338), 6: (True, 0.13956522941589355)}",0.913140058517456,"['-6', '-1', '5', '-4', '-3', '2']",79369,5,"{9: [(1, 1, 6), (1, 4, 5), (1, 5, 1), (2, 2, 7), (2, 4, 3), (2, 5, 2), (2, 6, 8), (3, 4, 9), (4, 6, 4)], 5: [(1, 2, 4), (2, 6, 3), (5, 5, 2), (6, 6, 1), (6, 6, 5)]}"
