,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{7: (True, 0.2801079750061035), 5: (False, 1.2757010459899902), 6: (True, 0.565403938293457)}",2.4994192123413086,"['8', '4', '1', '7', '6', '3', '5', '2']",206679,5,"{6: [(1, 3, 2), (1, 8, 6), (2, 3, 1), (2, 3, 5), (3, 6, 4), (4, 7, 3)], 5: [(1, 4, 2), (2, 6, 5), (3, 6, 3), (4, 8, 1), (6, 8, 4)]}"
1,"{7: (True, 0.304736852645874), 5: (True, 0.4610288143157959), 6: (True, 0.3918039798736572), 4: (False, 0.28893494606018066)}",1.9342868328094482,"['4', '6', '5', '1', '8', '2', '7', '3']",206679,4,"{6: [(1, 3, 2), (2, 6, 3), (3, 4, 1), (4, 5, 4), (5, 8, 6), (6, 7, 5)], 4: [(1, 4, 1), (2, 6, 2), (5, 6, 4), (6, 8, 3)], 5: [(1, 7, 2), (1, 7, 5), (2, 6, 1), (3, 8, 3), (5, 6, 4)]}"
2,"{7: (True, 0.3196401596069336), 5: (False, 1.197080135345459), 6: (True, 4.532351016998291)}",6.456252813339233,"['7', '8', '3', '5', '1', '4', '6', '2']",206679,5,"{6: [(1, 3, 2), (2, 8, 6), (3, 4, 4), (3, 7, 1), (4, 5, 5), (5, 6, 3)], 5: [(1, 2, 4), (1, 6, 5), (2, 6, 2), (2, 8, 1), (4, 7, 3)]}"
3,"{7: (True, 0.29390621185302734), 5: (True, 0.338468074798584), 6: (True, 0.8224732875823975), 4: (False, 0.2808690071105957)}",2.1389009952545166,"['6', '5', '2', '8', '1', '4', '3', '7']",206679,4,"{6: [(1, 3, 2), (2, 3, 5), (3, 4, 3), (3, 6, 1), (4, 7, 4), (4, 8, 6)], 4: [(1, 6, 3), (2, 4, 1), (4, 7, 4), (7, 8, 2)], 5: [(1, 5, 5), (2, 8, 1), (3, 8, 3), (4, 5, 2), (4, 7, 4)]}"
4,"{7: (True, 0.5578610897064209), 4: (False, 0.30866312980651855), 5: (True, 0.3103451728820801)}",1.5699357986450195,"['1', '5', '2', '4', '6', '7', '8', '3']",206679,4,"{6: [(2, 5, 1), (3, 4, 6), (4, 5, 5), (4, 7, 4), (4, 8, 2), (6, 7, 3)], 4: [(2, 3, 3), (3, 5, 2), (5, 8, 4), (6, 8, 1)]}"
5,"{7: (True, 0.3322329521179199), 3: (False, 0.23960089683532715), 4: (True, 0.26080894470214844)}",1.255753993988037,"['1', '2', '3', '5', '8', '7', '4', '6']",206679,3,"{6: [(3, 5, 1), (3, 5, 3), (3, 5, 6), (3, 8, 4), (4, 6, 5), (5, 6, 2)], 3: [(4, 5, 2), (4, 6, 1), (5, 8, 3)]}"
6,"{7: (True, 0.28705382347106934), 5: (True, 0.46682214736938477), 6: (True, 0.26441001892089844), 4: (False, 0.29961419105529785)}",1.7373042106628418,"['5', '8', '1', '4', '7', '6', '3', '2']",206679,4,"{6: [(1, 3, 2), (2, 8, 6), (3, 5, 1), (3, 5, 3), (4, 6, 5), (5, 7, 4)], 4: [(1, 5, 1), (2, 4, 4), (3, 5, 2), (4, 8, 3)], 5: [(1, 3, 2), (2, 8, 5), (3, 5, 1), (3, 5, 4), (3, 7, 3)]}"
7,"{7: (True, 0.28184008598327637), 5: (True, 0.338731050491333), 6: (True, 0.3535740375518799), 4: (False, 0.37204813957214355)}",1.809488296508789,"['1', '4', '7', '8', '5', '2', '6', '3']",206679,4,"{6: [(2, 4, 2), (3, 5, 4), (4, 5, 5), (4, 6, 3), (4, 8, 6), (5, 7, 1)], 4: [(2, 4, 2), (3, 7, 3), (6, 8, 1), (7, 8, 4)], 5: [(2, 4, 2), (3, 4, 3), (3, 5, 1), (3, 6, 5), (5, 8, 4)]}"
8,"{7: (True, 0.5959827899932861), 4: (False, 0.2754378318786621), 5: (True, 0.26778602600097656)}",1.5343708992004395,"['8', '6', '7', '4', '3', '2', '5', '1']",206679,4,"{6: [(1, 4, 1), (1, 4, 5), (1, 5, 3), (1, 8, 2), (1, 8, 4), (2, 6, 6)], 4: [(1, 8, 4), (2, 5, 1), (3, 5, 2), (6, 7, 3)]}"
9,"{7: (True, 0.32697296142578125), 5: (True, 0.2919788360595703), 6: (True, 0.299760103225708), 4: (False, 0.27562713623046875)}",1.593263864517212,"['1', '8', '7', '2', '4', '6', '3', '5']",206679,4,"{6: [(2, 4, 2), (2, 8, 6), (4, 5, 1), (4, 5, 4), (4, 5, 5), (4, 6, 3)], 4: [(2, 4, 2), (2, 8, 4), (4, 5, 1), (4, 6, 3)], 5: [(2, 4, 2), (2, 8, 5), (3, 4, 4), (3, 6, 1), (4, 6, 3)]}"
