,details,elapsed_time,list,num_of_clauses,num_of_operations
34,"{6: (True, 0.46422314643859863), 4: (False, 0.34615302085876465), 5: (True, 0.4252488613128662)}",1.6161599159240723,"['3', '7', '6', '2', '4', '1', '5']",89583,4
35,"{6: (True, 0.39117908477783203), 3: (False, 0.22469115257263184), 4: (True, 0.45105504989624023)}",1.3890249729156494,"['2', '1', '3', '4', '7', '5', '6']",89583,3
36,"{6: (True, 0.592170238494873), 4: (False, 0.40791893005371094), 5: (True, 0.47211599349975586)}",1.7335410118103027,"['1', '3', '6', '2', '7', '5', '4']",89583,4
37,"{6: (True, 0.4107940196990967), 3: (False, 0.19307804107666016), 4: (True, 0.35075879096984863)}",1.2421538829803467,"['1', '5', '2', '3', '7', '6', '4']",89583,3
38,"{6: (True, 0.44174790382385254), 3: (False, 0.21694517135620117), 4: (True, 0.32039880752563477)}",1.269618272781372,"['5', '2', '3', '4', '1', '7', '6']",89583,3
39,"{6: (True, 0.4219090938568115), 4: (False, 0.3258821964263916), 5: (True, 0.4650540351867676)}",1.4940118789672852,"['3', '1', '5', '2', '7', '4', '6']",89583,4
40,"{6: (True, 0.43892788887023926), 4: (True, 0.3656020164489746), 5: (True, 0.3860490322113037)}",1.4536011219024658,"['7', '2', '4', '6', '3', '5', '1']",89583,3
41,"{6: (True, 0.8374319076538086), 4: (False, 0.36759305000305176), 5: (True, 0.47588205337524414)}",2.0210039615631104,"['4', '7', '3', '6', '2', '1', '5']",89583,4
42,"{6: (True, 0.41573619842529297), 4: (False, 0.32418203353881836), 5: (True, 0.40528082847595215)}",1.4390718936920166,"['6', '3', '2', '7', '5', '4', '1']",89583,4
43,"{6: (True, 0.44597887992858887), 4: (True, 0.3795020580291748), 5: (True, 0.37544822692871094), 3: (False, 0.19567108154296875)}",1.678807020187378,"['6', '7', '4', '2', '3', '5', '1']",89583,3
44,"{6: (True, 0.45250582695007324), 2: (False, 0.08114409446716309), 3: (False, 0.21437907218933105)}",1.0588772296905518,"['7', '1', '2', '3', '6', '5', '4']",89583,3
45,"{6: (True, 0.41175293922424316), 3: (False, 0.22551822662353516), 4: (True, 0.3908228874206543)}",1.284038782119751,"['3', '7', '6', '5', '1', '2', '4']",89583,3
46,"{6: (True, 0.4344768524169922), 4: (True, 0.42310190200805664), 5: (True, 0.39003515243530273)}",1.5989861488342285,"['7', '3', '4', '6', '2', '5', '1']",89583,3
47,"{6: (True, 0.3949136734008789), 4: (False, 0.36585187911987305), 5: (True, 0.4945380687713623)}",1.550358772277832,"['5', '4', '1', '3', '7', '2', '6']",89583,4
48,"{6: (True, 0.5051047801971436), 2: (False, 0.0895390510559082)}",0.8570520877838135,"['3', '4', '1', '2', '5', '6', '7']",89583,2
49,"{6: (True, 0.4149198532104492), 4: (False, 0.3379659652709961), 5: (True, 0.415477991104126)}",1.4482107162475586,"['3', '7', '1', '6', '4', '2', '5']",89583,4
50,"{6: (True, 0.39888429641723633), 4: (True, 0.3756680488586426), 5: (True, 0.44983601570129395), 3: (False, 0.27747321128845215)}",1.8068480491638184,"['5', '4', '3', '6', '2', '7', '1']",89583,3
51,"{6: (True, 0.44864416122436523), 4: (False, 0.4646108150482178), 5: (True, 0.44651198387145996)}",1.639401912689209,"['4', '1', '3', '6', '7', '2', '5']",89583,4
52,"{6: (True, 0.47946810722351074), 4: (True, 0.36594390869140625), 5: (True, 0.4297058582305908), 3: (True, 0.2908132076263428)}",1.883378028869629,"['6', '3', '4', '2', '5', '1', '7']",89583,2
53,"{6: (True, 0.45069003105163574), 4: (False, 0.37626004219055176), 5: (True, 0.44878315925598145)}",1.5379242897033691,"['1', '4', '2', '5', '3', '7', '6']",89583,4
54,"{6: (True, 0.4699211120605469), 2: (False, 0.14360713958740234), 3: (False, 0.1881871223449707)}",1.048192024230957,"['1', '6', '7', '5', '4', '2', '3']",89583,3
55,"{6: (True, 0.5376358032226562), 4: (False, 0.39319300651550293), 5: (True, 0.5052390098571777)}",1.7303240299224854,"['3', '6', '5', '1', '7', '4', '2']",89583,4
56,"{6: (True, 0.39354991912841797), 4: (True, 0.3518869876861572), 5: (True, 0.38169002532958984)}",1.3806941509246826,"['7', '4', '5', '2', '6', '3', '1']",89583,3
57,"{6: (True, 0.4456751346588135), 3: (False, 0.22148489952087402), 4: (True, 0.318195104598999)}",1.3726580142974854,"['2', '1', '3', '7', '4', '5', '6']",89583,3
58,"{6: (True, 0.40979504585266113), 3: (False, 0.2929232120513916), 4: (True, 0.40436410903930664)}",1.3729827404022217,"['1', '3', '2', '4', '6', '7', '5']",89583,3
59,"{6: (True, 0.4253089427947998), 4: (False, 0.39313483238220215), 5: (True, 0.44348788261413574)}",1.5438098907470703,"['3', '1', '6', '2', '4', '7', '5']",89583,4
60,"{6: (True, 0.4029839038848877), 4: (False, 0.3593931198120117), 5: (True, 0.44431281089782715)}",1.5058588981628418,"['1', '7', '6', '3', '5', '2', '4']",89583,4
61,"{6: (True, 0.42365598678588867), 4: (False, 0.36483287811279297), 5: (True, 0.37441563606262207)}",1.4294719696044922,"['2', '5', '3', '4', '7', '1', '6']",89583,4
