,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{1: (False, 0.07978224754333496), 11: (True, 0.4164562225341797), 6: (True, 0.3288569450378418), 7: (True, 0.36582469940185547), 4: (False, 0.23668408393859863), 5: (False, 0.3443491458892822)}",2.0459389686584473,"['5', '-4', '1', '2', '-6', '3']",88086,5,"{10: [(1, 1, 8), (1, 3, 5), (2, 4, 6), (3, 4, 1), (3, 4, 4), (3, 4, 7), (3, 4, 9), (4, 4, 2), (4, 5, 3), (5, 6, 10)], 5: [(1, 4, 4), (1, 6, 5), (3, 6, 2), (4, 6, 3), (5, 5, 1)], 6: [(1, 4, 4), (2, 5, 6), (3, 4, 3), (3, 5, 2), (4, 6, 1), (5, 6, 5)]}"
1,"{1: (False, 0.08509993553161621), 12: (True, 0.4187939167022705), 7: (True, 0.35402870178222656), 8: (True, 0.42826008796691895), 4: (False, 0.23525118827819824), 5: (False, 0.32881808280944824), 6: (False, 1.7849652767181396)}",3.953589916229248,"['2', '6', '-4', '-5', '3', '-1']",96803,6,"{11: [(1, 3, 9), (2, 2, 4), (2, 3, 6), (2, 3, 10), (2, 4, 7), (2, 6, 11), (3, 4, 1), (4, 4, 5), (4, 5, 8), (5, 5, 3), (6, 6, 2)], 6: [(1, 2, 1), (1, 3, 3), (1, 5, 6), (2, 6, 5), (4, 5, 4), (5, 6, 2)], 7: [(1, 1, 4), (1, 2, 3), (2, 3, 5), (3, 6, 1), (3, 6, 6), (4, 5, 7), (5, 6, 2)]}"
2,"{1: (False, 0.09011983871459961), 12: (True, 0.47516798973083496), 7: (True, 0.6586906909942627), 8: (True, 0.35625791549682617), 4: (False, 0.2284550666809082), 5: (False, 0.33048224449157715), 6: (False, 1.3536293506622314)}",3.8253941535949707,"['-3', '1', '4', '-6', '5', '-2']",96803,6,"{11: [(1, 1, 11), (1, 5, 3), (1, 5, 9), (2, 3, 2), (2, 3, 8), (2, 6, 5), (3, 4, 4), (3, 4, 7), (4, 6, 1), (4, 6, 6), (5, 5, 10)], 6: [(1, 3, 2), (2, 5, 5), (3, 5, 3), (5, 5, 4), (5, 6, 1), (5, 6, 6)], 7: [(1, 2, 2), (1, 4, 4), (1, 4, 7), (1, 5, 6), (4, 6, 3), (4, 6, 5), (5, 6, 1)]}"
