,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{8: (True, 1.0504341125488281), 6: (False, 18.938536882400513), 7: (True, 18.79158592224121)}",39.45085382461548,"['4', '2', '7', '1', '9', '5', '8', '6', '3']",430413,6,"{7: [(1, 3, 4), (3, 4, 6), (3, 5, 2), (3, 6, 1), (4, 7, 3), (5, 9, 7), (7, 8, 5)], 6: [(1, 4, 1), (2, 9, 4), (3, 6, 2), (4, 6, 5), (6, 7, 6), (6, 9, 3)]}"
1,"{8: (True, 1.0267002582550049), 6: (False, 20.511838912963867), 7: (True, 0.9285190105438232)}",23.10937786102295,"['3', '2', '6', '1', '8', '4', '9', '5', '7']",430413,6,"{7: [(1, 3, 4), (3, 4, 6), (4, 6, 1), (5, 6, 3), (6, 8, 2), (6, 8, 5), (7, 9, 7)], 6: [(1, 3, 2), (3, 4, 4), (4, 6, 1), (5, 8, 5), (6, 7, 3), (7, 9, 6)]}"
2,"{8: (True, 4.8248982429504395), 5: (True, 0.8470151424407959), 6: (True, 0.898676872253418), 4: (False, 0.8027589321136475)}",8.077836036682129,"['7', '3', '5', '6', '1', '8', '4', '2', '9']",430413,4,"{7: [(1, 4, 7), (1, 5, 3), (1, 9, 5), (2, 4, 4), (3, 7, 6), (4, 7, 1), (5, 9, 2)], 4: [(1, 3, 3), (2, 6, 4), (2, 8, 1), (6, 7, 2)], 5: [(1, 5, 5), (2, 6, 1), (4, 5, 2), (5, 7, 3), (6, 8, 4)]}"
3,"{8: (True, 2.622152090072632), 5: (False, 3.6530349254608154), 6: (False, 18.969846963882446), 7: (True, 4.383396863937378)}",30.430190086364746,"['6', '4', '5', '2', '3', '8', '1', '9', '7']",430413,6,"{7: [(1, 4, 5), (1, 7, 2), (1, 8, 1), (1, 9, 3), (2, 7, 6), (4, 5, 4), (4, 9, 7)], 6: [(1, 7, 6), (2, 8, 1), (3, 9, 5), (4, 5, 4), (5, 7, 3), (7, 9, 2)]}"
4,"{8: (True, 1.0276780128479004), 6: (False, 21.870059967041016), 7: (True, 11.327079057693481)}",34.997236013412476,"['7', '4', '9', '5', '3', '1', '2', '6', '8']",430413,6,"{7: [(1, 5, 6), (3, 4, 5), (3, 6, 3), (3, 8, 7), (4, 5, 1), (4, 7, 2), (8, 9, 4)], 6: [(1, 2, 1), (1, 5, 3), (2, 3, 5), (2, 9, 4), (4, 8, 2), (5, 8, 6)]}"
