,details,elapsed_time,list,num_of_clauses,num_of_operations
0,"{12: (True, 101.65903425216675), 8: (True, 189.6246099472046), 9: (True, 274.3689169883728), 6: (True, 95.1357650756836), 7: (True, 118.0813159942627)}",785.6670389175415,"['1', '3', '6', '13', '8', '7', '10', '4', '2', '12', '5', '11', '9']",4174089,5
1,"{12: (True, 96.98325777053833), 8: (True, 260.00152707099915), 9: (True, 68.88912105560303), 6: (True, 276.6020529270172), 7: (True, 574.2093181610107)}",1282.4911737442017,"['4', '1', '5', '11', '8', '9', '2', '13', '12', '3', '6', '7', '10']",4174089,5
2,"{12: (True, 203.81119179725647), 8: (True, 141.54630494117737), 9: (True, 68.4758460521698), 6: (True, 342.22503995895386), 7: (True, 172.0951817035675)}",934.3097231388092,"['13', '5', '4', '7', '6', '10', '1', '11', '8', '3', '9', '12', '2']",4174089,5
3,"{12: (True, 917.5731930732727), 8: (True, 443.79269909858704), 9: (True, 193.68354272842407), 6: (True, 91.17105102539062), 7: (True, 168.57425093650818)}",1820.904816865921,"['9', '11', '6', '2', '12', '7', '8', '1', '10', '13', '3', '4', '5']",4174089,5
4,"{12: (True, 898.1597769260406), 8: (True, 350.23762106895447), 9: (True, 86.528235912323), 6: (True, 238.89222598075867), 7: (True, 62.49782395362854)}",1642.3629019260406,"['8', '1', '7', '3', '2', '6', '11', '5', '13', '4', '9', '10', '12']",4174089,5
