,details,elapsed_time,list,num_of_clauses,num_of_operations
0,"{13: (True, 98.21977496147156), 9: (True, 58.72557187080383), 10: (True, 1113.8976690769196), 7: (True, 1055.7067489624023), 8: (True, 798.4127149581909)}",3135.432119846344,"['14', '11', '2', '3', '12', '10', '5', '9', '4', '8', '1', '13', '6', '7']",6579843,6
1,"{13: (True, 3092.840708255768), 9: (True, 897.473601102829), 10: (True, 118.89527082443237), 7: (True, 342.51026606559753), 8: (True, 621.6316890716553)}",5083.576597929001,"['13', '4', '12', '5', '7', '8', '6', '14', '2', '11', '1', '10', '3', '9']",6579843,6
2,"{13: (True, 3600.2345242500305), 10: (True, 567.1407260894775), 11: (True, 101.46244621276855), 8: (True, 1907.199432849884), 9: (True, 1651.8548610210419)}",7839.4951050281525,"['10', '5', '14', '3', '12', '2', '7', '11', '4', '6', '9', '13', '1', '8']",6579843,7
3,"{13: (True, 148.50815677642822), 9: (True, 1530.558515071869), 10: (True, 599.3247981071472), 7: (True, 1278.8559670448303), 8: (True, 492.6122250556946)}",4059.874627828598,"['12', '4', '2', '14', '3', '9', '1', '5', '6', '7', '10', '13', '11', '8']",6579843,6
4,"{13: (True, 112.8639669418335), 9: (True, 225.44530510902405), 10: (True, 151.13444089889526), 7: (True, 248.9004189968109), 8: (True, 937.0193297863007)}",1685.0757939815521,"['4', '9', '14', '7', '5', '13', '10', '1', '3', '2', '11', '12', '6', '8']",6579843,6
