,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{7: (True, 3.7970621585845947), 5: (False, 2.846090793609619), 6: (True, 4.053029775619507)}",11.055387020111084,"['5', '8', '2', '7', '1', '4', '6', '3']",206679,5,"{6: [(1, 5, 6), (2, 5, 3), (3, 5, 4), (4, 6, 1), (4, 8, 5), (5, 7, 2)], 5: [(1, 4, 2), (2, 8, 5), (3, 6, 3), (4, 5, 1), (6, 7, 4)]}"
1,"{7: (True, 0.7121820449829102), 5: (False, 2.6447579860687256), 6: (True, 0.6261513233184814)}",4.3706419467926025,"['2', '3', '7', '6', '4', '1', '8', '5']",206679,5,"{6: [(1, 2, 4), (2, 6, 6), (3, 6, 5), (4, 7, 1), (6, 7, 3), (6, 8, 2)], 5: [(1, 8, 4), (2, 8, 3), (4, 5, 1), (4, 7, 2), (6, 8, 5)]}"
2,"{7: (True, 2.4485301971435547), 5: (True, 0.6457562446594238), 6: (True, 1.725639820098877), 4: (False, 0.5677638053894043)}",5.796712160110474,"['4', '8', '6', '7', '1', '5', '2', '3']",206679,4,"{6: [(1, 5, 6), (2, 7, 1), (4, 5, 3), (4, 7, 4), (4, 8, 5), (6, 7, 2)], 4: [(1, 4, 1), (2, 8, 4), (4, 5, 2), (6, 7, 3)], 5: [(1, 7, 3), (4, 7, 1), (5, 8, 5), (6, 8, 2), (7, 8, 4)]}"
3,"{7: (True, 0.7107222080230713), 5: (True, 1.5100691318511963), 6: (True, 1.6054069995880127), 4: (False, 0.737058162689209)}",5.02397894859314,"['3', '2', '7', '4', '1', '8', '5', '6']",206679,4,"{6: [(1, 3, 1), (1, 5, 4), (1, 8, 3), (1, 8, 5), (3, 7, 2), (4, 6, 6)], 4: [(1, 3, 2), (3, 5, 4), (5, 7, 3), (6, 8, 1)], 5: [(1, 5, 5), (2, 4, 2), (2, 6, 1), (3, 7, 3), (6, 8, 4)]}"
4,"{7: (True, 0.662268877029419), 4: (False, 0.7093298435211182), 5: (True, 0.6393959522247314)}",2.4699230194091797,"['5', '3', '1', '2', '4', '8', '7', '6']",206679,4,"{6: [(1, 2, 5), (1, 4, 6), (3, 8, 2), (3, 8, 4), (6, 7, 3), (6, 8, 1)], 4: [(1, 2, 1), (1, 4, 4), (4, 5, 2), (6, 8, 3)]}"
