,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{5: (True, 0.2457737922668457), 3: (False, 0.16692471504211426), 4: (True, 0.21015429496765137)}",0.7785980701446533,"['2', '3', '6', '5', '1', '4']",33897,3,"{4: [(1, 2, 3), (1, 6, 4), (2, 6, 2), (4, 6, 1)], 3: [(1, 5, 3), (2, 5, 2), (4, 6, 1)]}"
1,"{5: (True, 0.24856805801391602), 4: (False, 0.42114901542663574)}",0.8177299499511719,"['5', '3', '1', '6', '4', '2']",33897,4,"{4: [(1, 3, 3), (2, 4, 4), (2, 6, 2), (3, 4, 1)]}"
2,"{5: (True, 0.2538619041442871), 3: (False, 0.09898805618286133), 4: (True, 0.20353102684020996)}",0.7119841575622559,"['4', '2', '6', '5', '3', '1']",33897,3,"{4: [(1, 6, 4), (2, 5, 3), (3, 4, 1), (3, 6, 2)], 3: [(1, 3, 2), (3, 4, 1), (3, 6, 3)]}"
