,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{8: (True, 0.7289791107177734), 6: (False, 19.01372981071472), 7: (True, 0.7678711414337158)}",21.198673009872437,"['7', '3', '6', '9', '2', '4', '1', '8', '5']",430413,6,"{7: [(1, 3, 2), (2, 4, 6), (2, 5, 3), (3, 7, 1), (4, 6, 5), (4, 9, 7), (5, 8, 4)], 6: [(1, 3, 2), (2, 7, 3), (2, 8, 1), (3, 5, 4), (4, 9, 6), (5, 7, 5)]}"
1,"{8: (True, 0.7094941139221191), 6: (False, 16.972414016723633), 7: (True, 0.6566288471221924)}",19.085702896118164,"['8', '2', '9', '7', '5', '3', '4', '6', '1']",430413,6,"{7: [(1, 3, 2), (3, 8, 1), (3, 9, 7), (4, 5, 5), (4, 6, 3), (5, 7, 6), (6, 8, 4)], 6: [(1, 3, 2), (3, 8, 1), (3, 9, 6), (4, 6, 5), (4, 8, 3), (6, 7, 4)]}"
2,"{8: (True, 1.1478009223937988), 6: (False, 16.126427173614502), 7: (True, 0.6530060768127441)}",18.64859890937805,"['3', '1', '2', '7', '5', '8', '4', '9', '6']",430413,6,"{7: [(1, 2, 7), (2, 3, 2), (4, 7, 5), (5, 6, 6), (6, 7, 4), (6, 8, 3), (6, 9, 1)], 6: [(1, 3, 1), (2, 3, 2), (4, 7, 4), (5, 6, 5), (6, 8, 3), (8, 9, 6)]}"
3,"{8: (True, 1.1744000911712646), 4: (True, 0.5848121643066406), 5: (True, 1.1551289558410645), 3: (False, 0.4524359703063965)}",4.100315809249878,"['1', '5', '7', '8', '2', '6', '4', '3', '9']",430413,3,"{7: [(2, 3, 4), (3, 4, 3), (3, 4, 7), (3, 6, 1), (3, 6, 5), (4, 7, 6), (6, 8, 2)], 3: [(2, 5, 3), (3, 8, 2), (5, 6, 1)], 4: [(2, 5, 1), (3, 5, 3), (4, 8, 2), (5, 7, 4)]}"
4,"{8: (True, 0.6495728492736816), 5: (False, 2.058135986328125), 6: (True, 0.6391918659210205)}",4.037779092788696,"['4', '5', '1', '7', '3', '6', '2', '9', '8']",430413,5,"{7: [(1, 3, 2), (2, 5, 1), (4, 5, 4), (4, 5, 5), (4, 5, 6), (5, 7, 3), (8, 9, 7)], 5: [(1, 3, 2), (2, 5, 1), (4, 5, 4), (5, 7, 3), (8, 9, 5)]}"
5,"{8: (True, 1.1420021057128906), 6: (False, 17.654513120651245), 7: (True, 3.7044999599456787)}",23.21571183204651,"['4', '2', '5', '3', '6', '1', '8', '9', '7']",430413,6,"{7: [(1, 6, 7), (2, 3, 1), (2, 3, 6), (3, 6, 3), (5, 6, 5), (7, 8, 2), (8, 9, 4)], 6: [(1, 7, 1), (1, 9, 5), (2, 3, 6), (2, 9, 2), (5, 7, 4), (7, 9, 3)]}"
6,"{8: (True, 0.7060048580169678), 6: (False, 17.688658952713013), 7: (True, 14.483612775802612)}",33.61448812484741,"['3', '4', '2', '8', '5', '7', '9', '6', '1']",430413,6,"{7: [(1, 3, 1), (2, 4, 3), (3, 4, 4), (4, 6, 5), (6, 7, 6), (6, 8, 2), (7, 9, 7)], 6: [(1, 7, 2), (1, 9, 1), (3, 4, 4), (3, 8, 5), (5, 7, 6), (6, 7, 3)]}"
7,"{8: (True, 0.8096492290496826), 5: (False, 4.771640062332153), 6: (True, 0.6530311107635498)}",7.002230167388916,"['7', '2', '3', '1', '9', '6', '5', '4', '8']",430413,5,"{7: [(1, 3, 2), (3, 4, 4), (3, 7, 1), (3, 8, 3), (4, 7, 5), (4, 8, 6), (5, 9, 7)], 5: [(1, 4, 5), (2, 3, 4), (4, 8, 3), (7, 8, 1), (7, 9, 2)]}"
8,"{8: (True, 1.2156071662902832), 6: (False, 15.351642847061157), 7: (True, 0.6439230442047119)}",17.908905029296875,"['3', '8', '5', '4', '6', '1', '9', '2', '7']",430413,6,"{7: [(1, 6, 7), (2, 4, 4), (3, 4, 6), (3, 7, 1), (3, 9, 5), (5, 9, 2), (6, 7, 3)], 6: [(1, 3, 1), (2, 6, 3), (5, 6, 5), (6, 8, 2), (6, 8, 4), (7, 9, 6)]}"
9,"{8: (True, 0.7338161468505859), 5: (True, 0.5921909809112549), 6: (True, 0.6642661094665527), 4: (False, 0.6556110382080078)}",3.4117541313171387,"['8', '7', '2', '1', '5', '4', '9', '6', '3']",430413,4,"{7: [(1, 3, 2), (2, 3, 6), (3, 4, 5), (3, 8, 1), (5, 7, 4), (5, 8, 3), (7, 9, 7)], 4: [(1, 4, 4), (3, 7, 2), (6, 8, 1), (7, 9, 3)], 5: [(1, 4, 5), (3, 7, 1), (4, 8, 4), (5, 7, 3), (7, 9, 2)]}"
