,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{4: (True, 0.09181523323059082), 3: (False, 0.06368899345397949)}",0.24786925315856934,"['4', '2', '5', '1', '3']",10617,3,"{3: [(1, 4, 2), (2, 3, 3), (3, 5, 1)]}"
1,"{2: (True, 0.046370744705200195)}",0.1264021396636963,"['4', '3', '2', '1', '5']",10617,1,"{1: [(1, 4, 1)]}"
2,"{4: (True, 0.08448481559753418), 2: (False, 0.01523280143737793), 3: (True, 0.07075810432434082)}",0.2900409698486328,"['1', '4', '5', '2', '3']",10617,2,"{3: [(2, 3, 1), (2, 5, 3), (4, 5, 2)], 2: [(2, 4, 2), (3, 5, 1)]}"
3,"{4: (True, 0.08083820343017578), 2: (False, 0.016582965850830078), 3: (True, 0.05883383750915527)}",0.25615906715393066,"['3', '2', '1', '5', '4']",10617,2,"{3: [(1, 4, 3), (1, 5, 1), (2, 5, 2)], 2: [(1, 3, 1), (4, 5, 2)]}"
4,"{4: (True, 0.0900259017944336), 2: (False, 0.015674114227294922), 3: (False, 0.05866408348083496)}",0.2630650997161865,"['2', '1', '5', '3', '4']",10617,3,"{3: [(1, 4, 1), (1, 5, 3), (3, 5, 2)]}"
