,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{5: (True, 0.31102991104125977), 3: (False, 0.09816908836364746), 4: (True, 0.250546932220459)}",0.798151969909668,"['5', '1', '6', '4', '2', '3']",33897,3,"{4: [(1, 2, 3), (2, 4, 2), (3, 6, 1), (4, 5, 4)], 3: [(1, 5, 1), (2, 4, 3), (3, 6, 2)]}"
1,"{5: (True, 0.26350879669189453), 3: (False, 0.1208047866821289), 4: (False, 0.1904618740081787)}",0.7392430305480957,"['2', '4', '6', '5', '3', '1']",33897,4,"{4: [(1, 3, 3), (1, 5, 4), (1, 6, 1), (3, 4, 2)]}"
2,"{5: (True, 0.27168989181518555), 2: (False, 0.0345149040222168), 3: (False, 0.11920404434204102), 4: (True, 0.2048509120941162)}",0.7857460975646973,"['4', '5', '6', '3', '1', '2']",33897,3,"{4: [(1, 3, 4), (1, 5, 3), (2, 5, 2), (2, 6, 1)], 3: [(1, 2, 1), (1, 3, 3), (1, 6, 2)]}"
3,"{5: (True, 0.2730069160461426), 3: (False, 0.13271498680114746), 4: (False, 0.19470906257629395)}",0.7469980716705322,"['3', '5', '4', '2', '6', '1']",33897,4,"{4: [(1, 6, 4), (2, 3, 2), (3, 6, 1), (4, 5, 3)]}"
4,"{5: (True, 0.2269120216369629), 2: (False, 0.030631303787231445), 3: (True, 0.10552191734313965)}",0.5006370544433594,"['3', '1', '2', '4', '5', '6']",33897,2,"{4: [(1, 3, 1), (1, 6, 3), (1, 6, 4), (2, 3, 2)], 2: [(1, 2, 2), (2, 3, 1)]}"
