,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{1: (False, 0.050295114517211914), 7: (True, 0.06082296371459961), 4: (True, 0.04906892776489258), 5: (True, 0.048924922943115234), 2: (True, 0.04512786865234375), 3: (True, 0.04712724685668945)}",0.4506080150604248,"['-2', '-1', '3', '4', '5']",22528,1,"{5: [(1, 2, 2), (2, 2, 3), (2, 2, 4), (3, 5, 1), (3, 5, 5)], 3: [(1, 2, 2), (3, 5, 1), (3, 5, 3)], 1: [(1, 2, 1)]}"
1,"{1: (False, 0.059660911560058594), 10: (True, 0.07502508163452148), 6: (True, 0.07695293426513672), 7: (True, 0.11081576347351074), 4: (False, 0.05917000770568848), 5: (False, 0.08473420143127441)}",0.7184450626373291,"['-5', '-3', '-1', '-2', '4']",33529,5,"{9: [(1, 2, 3), (2, 3, 5), (2, 4, 2), (3, 3, 4), (3, 3, 9), (3, 5, 6), (3, 5, 7), (4, 5, 1), (5, 5, 8)], 5: [(1, 5, 3), (2, 4, 2), (2, 4, 5), (3, 4, 1), (3, 5, 4)], 6: [(1, 2, 1), (1, 3, 2), (1, 4, 5), (1, 5, 6), (2, 2, 4), (3, 3, 3)]}"
2,"{1: (False, 0.09070372581481934), 10: (True, 0.10737466812133789), 6: (True, 0.14258503913879395), 7: (True, 0.09287118911743164), 4: (False, 0.07316899299621582), 5: (True, 0.09987425804138184)}",0.8925619125366211,"['5', '-3', '-2', '-4', '1']",33529,4,"{9: [(1, 2, 1), (1, 2, 9), (1, 4, 4), (1, 4, 6), (1, 5, 3), (2, 4, 5), (3, 5, 7), (4, 5, 2), (4, 5, 8)], 5: [(1, 1, 2), (1, 5, 5), (2, 5, 3), (3, 5, 4), (4, 5, 1)], 6: [(1, 1, 5), (1, 5, 1), (2, 4, 4), (3, 4, 3), (4, 4, 6), (5, 5, 2)], 4: [(1, 4, 2), (4, 5, 1), (4, 5, 4), (5, 5, 3)]}"
3,"{1: (False, 0.06005406379699707), 9: (True, 0.08650016784667969), 5: (True, 0.06166481971740723), 6: (True, 0.060491085052490234), 3: (False, 0.05777406692504883), 4: (False, 0.06511068344116211)}",0.585413932800293,"['4', '5', '1', '3', '-2']",29862,4,"{8: [(1, 1, 7), (1, 2, 3), (1, 5, 6), (2, 2, 1), (2, 3, 4), (2, 4, 8), (3, 5, 2), (4, 5, 5)], 4: [(1, 2, 1), (1, 4, 3), (3, 5, 2), (4, 5, 4)], 5: [(1, 3, 3), (1, 5, 5), (2, 2, 4), (2, 3, 1), (4, 5, 2)]}"
4,"{1: (False, 0.06010913848876953), 9: (True, 0.08646202087402344), 5: (True, 0.06636309623718262), 6: (True, 0.07970690727233887), 3: (False, 0.06702518463134766), 4: (False, 0.06167197227478027)}",0.6133460998535156,"['4', '2', '-1', '3', '5']",29862,4,"{8: [(1, 2, 6), (1, 5, 1), (2, 2, 7), (2, 4, 2), (2, 4, 3), (2, 5, 8), (4, 5, 4), (5, 5, 5)], 4: [(1, 3, 4), (2, 2, 1), (3, 4, 2), (4, 4, 3)], 5: [(1, 1, 5), (1, 3, 2), (1, 4, 4), (2, 2, 1), (2, 3, 3)]}"
5,"{1: (False, 0.05498480796813965), 8: (True, 0.07445788383483887), 4: (True, 0.05797934532165527), 5: (True, 0.06206798553466797), 2: (False, 0.05402207374572754), 3: (True, 0.05431818962097168)}",0.538250207901001,"['1', '4', '5', '-2', '-3']",26195,2,"{6: [(1, 3, 3), (1, 3, 6), (2, 2, 4), (2, 2, 5), (2, 4, 2), (3, 5, 1)], 2: [(2, 4, 2), (3, 5, 1)], 4: [(1, 2, 2), (1, 2, 3), (2, 4, 4), (3, 5, 1)]}"
6,"{1: (False, 0.05749392509460449), 10: (True, 0.08228111267089844), 6: (True, 0.08364510536193848), 7: (True, 0.08781003952026367), 4: (False, 0.06801104545593262), 5: (True, 0.06364703178405762)}",0.6291110515594482,"['-2', '5', '1', '4', '-3']",33529,4,"{8: [(1, 3, 4), (2, 3, 1), (2, 4, 3), (2, 4, 6), (3, 4, 7), (3, 4, 8), (4, 4, 2), (4, 5, 5)], 5: [(1, 2, 1), (2, 3, 2), (2, 3, 4), (3, 5, 3), (3, 5, 5)], 6: [(1, 2, 1), (2, 3, 2), (2, 4, 4), (3, 3, 6), (4, 5, 3), (4, 5, 5)], 4: [(1, 2, 2), (2, 3, 3), (3, 5, 1), (4, 4, 4)]}"
7,"{1: (False, 0.0686187744140625), 10: (True, 0.09545707702636719), 6: (True, 0.07850885391235352), 7: (True, 0.14078283309936523), 4: (False, 0.06623411178588867), 5: (False, 0.09835195541381836)}",0.7385189533233643,"['5', '3', '-2', '-4', '-1']",33529,5,"{9: [(1, 1, 8), (1, 5, 1), (2, 3, 2), (2, 3, 4), (2, 3, 9), (2, 4, 3), (2, 4, 7), (3, 3, 5), (3, 4, 6)], 5: [(1, 3, 5), (1, 5, 4), (2, 5, 2), (4, 4, 3), (4, 5, 1)]}"
8,"{1: (False, 0.058357954025268555), 9: (True, 0.1139528751373291), 5: (True, 0.06438398361206055), 6: (True, 0.0635080337524414), 3: (False, 0.06441593170166016), 4: (False, 0.07058191299438477)}",0.6078846454620361,"['-2', '3', '1', '-5', '-4']",29862,4,"{8: [(1, 4, 7), (2, 4, 2), (2, 5, 1), (2, 5, 6), (2, 5, 8), (3, 5, 4), (4, 5, 5), (5, 5, 3)], 4: [(1, 2, 2), (2, 3, 4), (3, 3, 3), (4, 5, 1)]}"
9,"{1: (False, 0.08173894882202148), 10: (True, 0.19339203834533691), 6: (True, 0.14377307891845703), 7: (True, 0.11408519744873047), 4: (False, 0.12121701240539551), 5: (False, 0.10159730911254883)}",1.0334579944610596,"['3', '5', '1', '-2', '-4']",33529,5,"{9: [(1, 1, 3), (1, 3, 9), (2, 2, 5), (2, 5, 6), (3, 3, 7), (3, 4, 4), (4, 5, 1), (4, 5, 2), (4, 5, 8)], 5: [(1, 1, 3), (1, 3, 5), (2, 2, 4), (2, 4, 2), (4, 5, 1)]}"
