,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{10: (True, 2.7219960689544678), 5: (False, 6.145297050476074), 6: (True, 10.277062892913818)}",21.106420278549194,"['2', '3', '6', '11', '9', '10', '5', '4', '7', '8', '1']",1491597,5,"{9: [(1, 2, 4), (2, 4, 8), (3, 5, 5), (4, 6, 7), (4, 7, 1), (4, 11, 9), (5, 6, 6), (6, 8, 2), (9, 10, 3)], 5: [(1, 8, 2), (1, 10, 5), (4, 6, 1), (5, 10, 3), (7, 11, 4)]}"
1,"{10: (True, 62.85685586929321), 6: (False, 61.85361695289612), 7: (True, 48.4015166759491)}",175.09607601165771,"['10', '7', '6', '9', '4', '5', '11', '8', '1', '3', '2']",1491597,6,"{9: [(1, 3, 2), (1, 7, 9), (1, 10, 1), (1, 11, 4), (4, 5, 5), (4, 11, 8), (6, 10, 3), (7, 10, 7), (10, 11, 6)], 6: [(1, 7, 3), (2, 10, 4), (5, 9, 6), (6, 8, 1), (6, 11, 2), (6, 11, 5)]}"
2,"{10: (True, 12.325168132781982), 6: (False, 75.89161396026611), 7: (True, 60.99176096916199)}",151.22464895248413,"['3', '4', '2', '8', '7', '9', '6', '10', '5', '1', '11']",1491597,6,"{9: [(1, 2, 9), (1, 8, 6), (2, 10, 1), (2, 11, 2), (3, 10, 3), (4, 5, 5), (6, 10, 4), (7, 11, 8), (10, 11, 7)], 6: [(1, 2, 6), (1, 4, 4), (4, 10, 5), (6, 8, 1), (6, 10, 2), (7, 8, 3)]}"
3,"{10: (True, 183.07804107666016), 7: (True, 102.77463912963867), 8: (True, 101.0678300857544), 5: (False, 8.501060962677002), 6: (False, 83.08867359161377)}",480.6284821033478,"['1', '7', '5', '11', '8', '10', '2', '3', '9', '4', '6']",1491597,6,"{9: [(2, 7, 2), (2, 8, 3), (2, 10, 5), (3, 5, 4), (3, 5, 8), (4, 6, 7), (5, 6, 6), (6, 11, 1), (9, 10, 9)], 6: [(2, 4, 5), (2, 6, 2), (4, 10, 4), (5, 7, 3), (6, 9, 6), (6, 11, 1)], 7: [(2, 7, 3), (2, 11, 1), (3, 7, 6), (4, 6, 4), (4, 9, 2), (5, 8, 5), (7, 11, 7)]}"
4,"{10: (True, 74.91548609733582), 7: (False, 926.5227110385895), 8: (True, 59.31816482543945)}",1062.8466460704803,"['7', '3', '8', '10', '6', '11', '2', '1', '5', '9', '4']",1491597,7,"{9: [(1, 2, 4), (1, 2, 7), (1, 4, 1), (2, 6, 9), (2, 11, 3), (2, 11, 6), (4, 9, 8), (6, 11, 5), (9, 10, 2)], 7: [(1, 4, 2), (1, 11, 7), (2, 9, 3), (3, 8, 5), (4, 10, 4), (6, 10, 6), (7, 11, 1)]}"
