,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
17,"{6: (True, 0.14001202583312988), 4: (False, 0.15697503089904785), 5: (True, 0.174407958984375)}",0.7080528736114502,"['5', '4', '1', '6', '3', '7', '2']",89583,4,"{5: [(1, 3, 2), (2, 4, 3), (3, 5, 1), (4, 6, 4), (6, 7, 5)], 4: [(1, 3, 2), (2, 4, 3), (2, 6, 1), (6, 7, 4)]}"
18,"{6: (True, 0.16013002395629883), 3: (False, 0.1167140007019043), 4: (True, 0.12048506736755371)}",0.6187911033630371,"['6', '7', '5', '2', '3', '4', '1']",89583,3,"{5: [(1, 7, 5), (2, 4, 3), (5, 6, 1), (5, 6, 4), (5, 7, 2)], 3: [(1, 7, 3), (2, 4, 2), (6, 7, 1)]}"
19,"{6: (True, 0.14089179039001465), 3: (False, 0.12374997138977051), 4: (True, 0.11776304244995117)}",0.6055359840393066,"['1', '3', '5', '4', '6', '2', '7']",89583,3,"{5: [(2, 3, 1), (3, 4, 2), (3, 4, 3), (3, 5, 4), (5, 6, 5)], 3: [(2, 3, 1), (3, 5, 2), (5, 6, 3)]}"
20,"{6: (True, 0.14561820030212402), 4: (False, 0.19341802597045898), 5: (True, 0.1569528579711914)}",0.800386905670166,"['3', '2', '6', '1', '7', '5', '4']",89583,4,"{5: [(1, 3, 1), (3, 4, 4), (4, 5, 3), (5, 6, 2), (5, 7, 5)], 4: [(1, 3, 1), (3, 6, 2), (4, 6, 3), (5, 7, 4)]}"
21,"{6: (True, 0.15095996856689453), 4: (True, 0.174332857131958), 5: (True, 0.17930102348327637), 3: (False, 0.1337909698486328)}",0.9265060424804688,"['5', '1', '6', '4', '2', '3', '7']",89583,3,"{5: [(1, 2, 5), (2, 3, 3), (3, 5, 1), (3, 5, 4), (5, 6, 2)], 3: [(1, 5, 1), (2, 4, 3), (3, 6, 2)], 4: [(1, 2, 4), (2, 5, 1), (3, 4, 3), (4, 6, 2)]}"
22,"{6: (True, 0.15551996231079102), 4: (False, 0.1771986484527588), 5: (True, 0.15880393981933594)}",0.7184503078460693,"['5', '1', '4', '2', '6', '7', '3']",89583,4,"{5: [(1, 3, 2), (1, 7, 5), (2, 4, 4), (3, 6, 3), (5, 7, 1)], 4: [(1, 2, 2), (2, 5, 1), (4, 7, 4), (5, 7, 3)]}"
23,"{6: (True, 0.1610109806060791), 4: (False, 0.14908218383789062), 5: (True, 0.16989898681640625)}",0.7132718563079834,"['4', '5', '7', '1', '6', '2', '3']",89583,4,"{5: [(1, 3, 2), (2, 5, 1), (3, 5, 4), (3, 6, 3), (3, 7, 5)], 4: [(1, 4, 4), (2, 6, 2), (5, 7, 3), (6, 7, 1)]}"
24,"{6: (True, 0.13950681686401367), 3: (False, 0.1094057559967041), 4: (False, 0.21064186096191406), 5: (True, 0.13646221160888672)}",0.827221155166626,"['1', '7', '2', '3', '5', '6', '4']",89583,4,"{5: [(2, 4, 1), (2, 7, 5), (3, 4, 4), (3, 5, 3), (4, 6, 2)], 4: [(2, 4, 1), (2, 7, 4), (3, 6, 2), (5, 6, 3)]}"
25,"{6: (True, 0.5089187622070312), 4: (False, 0.21711206436157227), 5: (False, 0.5099878311157227)}",1.456779956817627,"['6', '1', '3', '5', '7', '2', '4']",89583,5,"{5: [(1, 2, 5), (2, 6, 3), (3, 4, 1), (4, 5, 2), (5, 7, 4)]}"
26,"{6: (True, 0.1463150978088379), 4: (False, 0.20012521743774414), 5: (False, 0.4791288375854492)}",1.0360591411590576,"['3', '7', '1', '4', '2', '5', '6']",89583,5,"{5: [(1, 3, 1), (2, 4, 4), (2, 7, 5), (3, 4, 3), (3, 6, 2)]}"
27,"{6: (True, 0.1495070457458496), 3: (False, 0.1133420467376709), 4: (True, 0.11527872085571289)}",0.591362714767456,"['3', '4', '6', '2', '1', '5', '7']",89583,3,"{5: [(1, 5, 5), (3, 4, 3), (3, 4, 4), (3, 5, 2), (5, 6, 1)], 3: [(1, 5, 3), (3, 5, 2), (5, 6, 1)]}"
28,"{6: (True, 0.14977788925170898), 3: (False, 0.1036689281463623), 4: (True, 0.14699125289916992)}",0.6128358840942383,"['5', '7', '1', '2', '3', '4', '6']",89583,3,"{5: [(1, 3, 2), (2, 6, 1), (2, 7, 5), (3, 6, 4), (4, 6, 3)], 3: [(1, 5, 1), (2, 6, 3), (6, 7, 2)]}"
