,details,elapsed_time,list,num_of_clauses,num_of_operations,operations
0,"{7: (True, 0.3123159408569336), 4: (False, 0.32530689239501953), 5: (True, 0.3064539432525635)}",1.311457872390747,"['8', '6', '1', '2', '3', '5', '4', '7']",206679,4,"{6: [(1, 3, 6), (2, 3, 4), (2, 5, 3), (2, 7, 5), (6, 7, 1), (6, 8, 2)], 4: [(1, 4, 3), (2, 5, 4), (4, 7, 2), (7, 8, 1)]}"
1,"{7: (True, 0.3053700923919678), 5: (False, 1.575423002243042), 6: (True, 0.8463900089263916)}",3.1295816898345947,"['2', '7', '1', '4', '3', '6', '8', '5']",206679,5,"{6: [(1, 3, 2), (2, 3, 1), (2, 5, 4), (3, 4, 5), (5, 7, 3), (7, 8, 6)], 5: [(1, 2, 5), (1, 7, 1), (2, 5, 3), (3, 8, 2), (4, 7, 4)]}"
2,"{7: (True, 0.31555700302124023), 5: (False, 1.0799028873443604), 6: (True, 0.7063271999359131)}",2.525775909423828,"['8', '5', '7', '4', '3', '6', '1', '2']",206679,5,"{6: [(1, 7, 6), (2, 6, 1), (3, 5, 3), (5, 7, 4), (6, 7, 5), (6, 8, 2)], 5: [(1, 5, 2), (1, 8, 4), (3, 8, 5), (4, 6, 3), (5, 7, 1)]}"
3,"{7: (True, 0.3016219139099121), 4: (False, 0.30083775520324707), 5: (True, 0.26869702339172363)}",1.3409912586212158,"['1', '3', '2', '5', '8', '4', '6', '7']",206679,4,"{6: [(2, 4, 4), (3, 4, 1), (3, 4, 5), (3, 5, 2), (5, 7, 3), (5, 8, 6)], 4: [(2, 3, 1), (4, 5, 2), (5, 7, 3), (5, 8, 4)]}"
4,"{7: (True, 0.3340280055999756), 4: (False, 0.3232612609863281), 5: (True, 0.31658101081848145)}",1.4591879844665527,"['4', '3', '5', '8', '1', '2', '7', '6']",206679,4,"{6: [(1, 5, 6), (2, 6, 4), (4, 5, 5), (4, 7, 2), (4, 7, 3), (6, 8, 1)], 4: [(1, 5, 4), (2, 6, 3), (3, 4, 2), (6, 8, 1)]}"
5,"{7: (True, 0.292860746383667), 5: (True, 0.30261802673339844), 6: (True, 0.36297607421875), 4: (False, 0.3218109607696533)}",1.6841001510620117,"['7', '5', '6', '8', '4', '2', '3', '1']",206679,4,"{6: [(1, 3, 2), (2, 5, 3), (3, 7, 1), (4, 8, 6), (5, 6, 4), (5, 7, 5)], 4: [(1, 8, 4), (2, 3, 2), (5, 7, 3), (7, 8, 1)], 5: [(1, 4, 1), (1, 7, 4), (2, 3, 2), (4, 8, 5), (5, 6, 3)]}"
6,"{7: (True, 0.3036668300628662), 5: (False, 1.7759959697723389), 6: (True, 0.28196287155151367)}",2.755046844482422,"['5', '2', '4', '3', '7', '1', '6', '8']",206679,5,"{6: [(1, 6, 6), (2, 4, 4), (4, 5, 3), (4, 5, 5), (5, 6, 1), (5, 7, 2)], 5: [(1, 6, 5), (2, 4, 2), (4, 5, 4), (4, 7, 1), (5, 7, 3)]}"
7,"{7: (True, 0.28781795501708984), 5: (True, 0.28055500984191895), 6: (True, 0.3085598945617676), 4: (False, 0.2791750431060791)}",1.5843992233276367,"['8', '7', '5', '2', '4', '6', '3', '1']",206679,4,"{6: [(1, 8, 6), (2, 4, 2), (3, 4, 1), (3, 5, 4), (4, 5, 5), (5, 6, 3)], 4: [(1, 8, 4), (2, 3, 1), (3, 5, 3), (5, 6, 2)], 5: [(1, 8, 5), (2, 4, 2), (3, 4, 1), (3, 6, 3), (4, 6, 4)]}"
8,"{7: (True, 0.35239601135253906), 5: (False, 1.3689959049224854), 6: (False, 10.743571996688843)}",12.900048971176147,"['6', '3', '1', '8', '2', '4', '7', '5']",206679,6,"{6: [(1, 3, 2), (2, 6, 4), (2, 7, 1), (3, 5, 3), (4, 8, 6), (5, 6, 5)]}"
9,"{7: (True, 0.30681419372558594), 4: (False, 0.2915840148925781), 5: (True, 0.27018284797668457)}",1.272994041442871,"['3', '1', '4', '2', '8', '7', '6', '5']",206679,4,"{6: [(1, 3, 1), (2, 4, 3), (3, 4, 2), (4, 5, 4), (4, 5, 5), (5, 8, 6)], 4: [(1, 3, 1), (2, 4, 3), (3, 4, 2), (5, 8, 4)]}"
10,"{7: (True, 0.3100709915161133), 5: (False, 1.68060302734375), 6: (True, 0.6199069023132324)}",3.0054662227630615,"['2', '6', '4', '7', '8', '1', '3', '5']",206679,5,"{6: [(1, 3, 2), (2, 3, 1), (2, 5, 4), (4, 7, 5), (5, 6, 3), (5, 8, 6)], 5: [(1, 6, 5), (2, 8, 1), (4, 7, 3), (5, 7, 4), (5, 8, 2)]}"
11,"{7: (True, 0.2734711170196533), 5: (True, 0.29679107666015625), 6: (True, 0.267963171005249), 4: (False, 0.2896690368652344)}",1.5389418601989746,"['1', '6', '8', '7', '3', '5', '2', '4']",206679,4,"{6: [(2, 4, 2), (3, 4, 3), (3, 4, 5), (3, 8, 6), (4, 6, 1), (4, 6, 4)], 4: [(2, 4, 3), (3, 4, 1), (3, 8, 4), (4, 6, 2)], 5: [(2, 4, 2), (3, 6, 3), (3, 8, 5), (4, 5, 4), (4, 6, 1)]}"
12,"{7: (True, 0.29097485542297363), 4: (True, 0.33853983879089355), 5: (True, 0.29569172859191895), 3: (False, 0.2665979862213135)}",1.6806349754333496,"['1', '3', '8', '6', '7', '2', '4', '5']",206679,3,"{6: [(2, 3, 1), (3, 5, 5), (3, 8, 6), (5, 6, 2), (5, 6, 4), (5, 7, 3)], 3: [(2, 6, 3), (3, 7, 1), (5, 8, 2)], 4: [(2, 3, 2), (3, 5, 3), (3, 8, 4), (6, 7, 1)]}"
13,"{7: (True, 0.3723793029785156), 5: (False, 1.9330260753631592), 6: (True, 0.3463888168334961)}",3.228539228439331,"['7', '2', '6', '3', '1', '8', '4', '5']",206679,5,"{6: [(1, 3, 2), (3, 5, 5), (3, 7, 1), (4, 7, 3), (5, 7, 4), (6, 8, 6)], 5: [(1, 3, 3), (3, 4, 2), (3, 5, 4), (4, 7, 1), (6, 8, 5)]}"
14,"{7: (True, 0.3175621032714844), 4: (False, 0.29004621505737305), 5: (True, 0.30007123947143555)}",1.3343400955200195,"['5', '8', '3', '2', '1', '4', '6', '7']",206679,4,"{6: [(1, 3, 2), (2, 3, 5), (2, 6, 4), (2, 8, 6), (3, 5, 1), (5, 7, 3)], 4: [(1, 5, 4), (4, 6, 3), (6, 7, 1), (6, 8, 2)]}"
15,"{7: (True, 0.30733299255371094), 5: (False, 1.3936190605163574), 6: (True, 0.2830331325531006)}",2.373530864715576,"['3', '7', '1', '6', '4', '2', '5', '8']",206679,5,"{6: [(1, 3, 6), (2, 4, 3), (3, 4, 5), (3, 6, 2), (4, 6, 4), (5, 7, 1)], 5: [(1, 3, 5), (2, 4, 3), (4, 5, 2), (4, 6, 4), (5, 7, 1)]}"
