,time_ilp,time_sat,list,num_of_operations,operations
0,0.07790899276733398,0.2111990451812744,"['1', '2', '5', '3', '4']",2,"{2: [(3, 4, 1), (3, 5, 2)]}"
1,0.07004117965698242,0.1667797565460205,"['4', '3', '1', '5', '2']",3,"{3: [(1, 4, 1), (3, 5, 3), (4, 5, 2)]}"
2,0.05088305473327637,0.0747671127319336,"['1', '2', '3', '4', '5']",0,{}
3,0.056021928787231445,0.11827898025512695,"['2', '1', '3', '4', '5']",1,"{1: [(1, 2, 1)]}"
4,0.06061100959777832,0.17276597023010254,"['3', '1', '5', '4', '2']",3,"{3: [(1, 3, 1), (2, 3, 2), (3, 5, 3)]}"
5,0.07494902610778809,0.2011380195617676,"['4', '1', '2', '3', '5']",2,"{3: [(1, 2, 3), (2, 3, 2), (3, 4, 1)], 2: [(1, 3, 1), (1, 4, 2)]}"
6,0.09255504608154297,0.2037670612335205,"['2', '3', '1', '5', '4']",3,"{3: [(1, 2, 1), (2, 3, 2), (4, 5, 3)]}"
7,0.06968116760253906,0.1172020435333252,"['4', '3', '2', '1', '5']",1,"{1: [(1, 4, 1)]}"
8,0.06062793731689453,0.1589810848236084,"['1', '4', '2', '5', '3']",3,"{3: [(2, 3, 2), (3, 4, 1), (4, 5, 3)]}"
9,0.09488272666931152,0.16691207885742188,"['2', '5', '4', '1', '3']",3,"{3: [(1, 2, 1), (2, 3, 2), (2, 5, 3)]}"
