,time_ilp,time_sat,list,num_of_operations,operations
0,30381.782866954803,57.83907508850098,"['-5', '6', '-1', '2', '-3', '7', '4', '8']",7,"{12: [(1, 1, 10), (1, 4, 4), (1, 7, 7), (1, 7, 8), (2, 7, 9), (3, 4, 1), (3, 4, 6), (4, 5, 2), (4, 5, 12), (4, 6, 5), (6, 7, 3), (7, 7, 11)], 7: [(1, 1, 3), (1, 2, 5), (1, 6, 4), (2, 7, 6), (4, 6, 2), (5, 5, 7), (6, 7, 1)]}"
1,36386.7265791893,463.0407929420471,"['6', '-7', '-1', '-2', '5', '-8', '-3', '-4']",8,"{13: [(1, 3, 2), (1, 5, 12), (1, 6, 8), (1, 7, 9), (1, 8, 4), (2, 5, 1), (2, 5, 6), (2, 5, 7), (3, 4, 11), (3, 5, 5), (4, 4, 3), (4, 6, 13), (4, 7, 10)], 8: [(1, 2, 2), (1, 3, 4), (1, 7, 7), (1, 8, 6), (2, 3, 1), (2, 6, 3), (3, 7, 5), (5, 8, 8)]}"
2,7095.084805965424,56.08920192718506,"['-7', '-6', '-2', '8', '-1', '3', '5', '-4']",7,"{14: [(1, 2, 11), (1, 4, 14), (1, 7, 7), (1, 8, 3), (2, 6, 5), (2, 7, 1), (2, 7, 10), (3, 5, 8), (3, 8, 12), (4, 4, 4), (4, 5, 2), (5, 8, 13), (6, 7, 6), (6, 8, 9)], 8: [(1, 2, 8), (1, 4, 3), (1, 5, 4), (1, 6, 6), (2, 7, 1), (2, 8, 2), (5, 8, 5), (6, 8, 7)], 9: [(1, 4, 5), (1, 7, 8), (1, 8, 4), (2, 5, 2), (2, 7, 1), (3, 4, 9), (3, 5, 3), (3, 8, 6), (4, 8, 7)], 7: [(1, 3, 3), (1, 7, 2), (3, 7, 6), (4, 6, 5), (4, 8, 1), (5, 6, 7), (6, 7, 4)]}"
3,7855.078054189682,10.97087812423706,"['1', '-2', '3', '-5', '-8', '4', '6', '7']",5,"{12: [(1, 4, 4), (1, 5, 8), (1, 5, 10), (1, 8, 2), (1, 8, 6), (2, 2, 5), (2, 2, 9), (2, 2, 11), (2, 3, 3), (4, 6, 7), (4, 7, 12), (4, 8, 1)], 6: [(2, 2, 4), (4, 7, 3), (4, 8, 1), (5, 7, 5), (6, 8, 6), (7, 7, 2)], 7: [(2, 2, 3), (4, 5, 1), (5, 6, 5), (6, 7, 4), (7, 7, 7), (7, 8, 2), (8, 8, 6)], 5: [(2, 2, 1), (4, 6, 4), (4, 8, 2), (5, 6, 5), (5, 8, 3)]}"
4,3293.554990053177,50.26607298851013,"['-4', '-7', '1', '-8', '5', '6', '3', '2']",7,"{14: [(1, 2, 2), (1, 3, 6), (1, 7, 3), (1, 7, 5), (1, 8, 7), (2, 4, 8), (3, 8, 11), (4, 7, 13), (4, 8, 1), (5, 8, 12), (6, 7, 9), (6, 8, 10), (7, 8, 14), (8, 8, 4)], 8: [(1, 2, 7), (1, 8, 1), (2, 2, 6), (2, 4, 8), (2, 6, 3), (3, 7, 5), (3, 8, 2), (4, 8, 4)], 9: [(1, 2, 7), (1, 4, 9), (2, 2, 1), (2, 3, 3), (2, 8, 5), (3, 6, 4), (3, 7, 2), (3, 8, 6), (7, 8, 8)], 7: [(1, 6, 1), (1, 8, 4), (2, 7, 7), (3, 8, 2), (3, 8, 6), (4, 5, 3), (6, 6, 5)]}"
5,62050.044786930084,430.2736270427704,"['4', '-1', '8', '7', '-6', '-3', '2', '-5']",8,"{13: [(1, 4, 11), (1, 7, 13), (2, 2, 2), (2, 3, 4), (2, 7, 3), (3, 8, 6), (4, 6, 12), (5, 7, 1), (6, 7, 9), (6, 8, 5), (7, 8, 7), (7, 8, 8), (8, 8, 10)], 8: [(1, 2, 8), (2, 6, 4), (4, 7, 2), (5, 5, 1), (5, 7, 5), (5, 8, 3), (5, 8, 7), (6, 6, 6)]}"
6,6281.777375221252,53.628525972366326,"['4', '7', '-6', '-5', '1', '-3', '8', '-2']",7,"{14: [(1, 1, 9), (1, 5, 14), (2, 3, 8), (2, 7, 4), (4, 4, 12), (4, 8, 7), (4, 8, 10), (5, 6, 1), (5, 6, 6), (5, 7, 3), (5, 8, 5), (5, 8, 11), (8, 8, 2), (8, 8, 13)], 8: [(1, 3, 2), (1, 4, 1), (1, 7, 8), (1, 8, 5), (2, 6, 6), (2, 7, 7), (4, 7, 4), (7, 7, 3)], 9: [(1, 2, 2), (1, 4, 4), (1, 6, 3), (1, 6, 9), (2, 5, 5), (4, 7, 1), (5, 5, 7), (6, 8, 8), (7, 8, 6)], 7: [(1, 5, 5), (2, 2, 6), (2, 7, 4), (2, 8, 1), (3, 7, 2), (5, 5, 7), (5, 7, 3)]}"
7,22282.80791592598,57.89809322357178,"['4', '6', '-1', '-5', '3', '-7', '2', '-8']",7,"{15: [(1, 2, 14), (1, 3, 3), (1, 3, 8), (1, 5, 10), (1, 7, 2), (2, 6, 12), (2, 8, 5), (2, 8, 9), (3, 5, 7), (3, 5, 15), (3, 6, 1), (4, 5, 13), (5, 7, 4), (5, 8, 6), (6, 7, 11)], 8: [(1, 1, 7), (1, 3, 5), (2, 6, 4), (4, 4, 3), (4, 5, 1), (5, 5, 8), (6, 7, 6), (8, 8, 2)], 9: [(1, 3, 7), (1, 7, 4), (1, 8, 1), (1, 8, 2), (2, 6, 5), (2, 7, 9), (3, 4, 6), (6, 7, 8), (8, 8, 3)], 7: [(1, 3, 6), (2, 5, 4), (3, 4, 5), (3, 7, 3), (4, 7, 1), (4, 8, 7), (6, 8, 2)]}"
8,361.5375590324402,18.635265111923214,"['1', '-3', '-8', '-2', '-7', '4', '5', '6']",5,"{13: [(1, 3, 8), (1, 6, 11), (1, 7, 9), (2, 4, 4), (2, 7, 3), (3, 4, 6), (3, 5, 2), (3, 8, 7), (3, 8, 13), (4, 7, 10), (4, 8, 5), (4, 8, 12), (5, 8, 1)], 7: [(1, 6, 5), (1, 8, 3), (1, 8, 6), (2, 3, 2), (2, 4, 4), (4, 7, 1), (4, 8, 7)], 5: [(2, 3, 1), (3, 8, 3), (4, 6, 2), (4, 7, 4), (4, 8, 5)]}"
9,13618.036590099335,77.14591097831727,"['6', '-5', '-1', '-8', '-4', '7', '-2', '3']",7,"{14: [(1, 2, 10), (1, 6, 9), (1, 8, 13), (2, 3, 12), (2, 5, 8), (2, 7, 4), (2, 7, 11), (3, 5, 5), (3, 7, 3), (3, 7, 7), (3, 7, 14), (4, 4, 6), (6, 8, 2), (7, 7, 1)], 8: [(1, 3, 2), (1, 8, 8), (2, 4, 3), (2, 7, 5), (4, 7, 4), (4, 8, 1), (4, 8, 6), (8, 8, 7)], 9: [(1, 1, 9), (1, 4, 5), (1, 5, 2), (1, 7, 1), (2, 2, 4), (3, 5, 8), (4, 8, 7), (5, 6, 3), (8, 8, 6)], 7: [(1, 1, 7), (1, 3, 5), (2, 2, 3), (2, 7, 4), (5, 7, 2), (6, 8, 6), (7, 8, 1)]}"
