,time_ilp,time_sat,list,num_of_operations,operations
0,17.57418394088745,2.4994192123413086,"['8', '4', '1', '7', '6', '3', '5', '2']",5,"{6: [(1, 3, 2), (1, 8, 6), (2, 3, 1), (2, 3, 5), (3, 6, 4), (4, 7, 3)], 5: [(1, 4, 2), (2, 6, 5), (3, 6, 3), (4, 8, 1), (6, 8, 4)]}"
1,4.7304089069366455,1.934286832809448,"['4', '6', '5', '1', '8', '2', '7', '3']",4,"{6: [(1, 3, 2), (2, 6, 3), (3, 4, 1), (4, 5, 4), (5, 8, 6), (6, 7, 5)], 4: [(1, 4, 1), (2, 6, 2), (5, 6, 4), (6, 8, 3)], 5: [(1, 7, 2), (1, 7, 5), (2, 6, 1), (3, 8, 3), (5, 6, 4)]}"
2,6.5187668800354,6.4562528133392325,"['7', '8', '3', '5', '1', '4', '6', '2']",5,"{6: [(1, 3, 2), (2, 8, 6), (3, 4, 4), (3, 7, 1), (4, 5, 5), (5, 6, 3)], 5: [(1, 2, 4), (1, 6, 5), (2, 6, 2), (2, 8, 1), (4, 7, 3)]}"
3,9.223072052001953,2.1389009952545166,"['6', '5', '2', '8', '1', '4', '3', '7']",4,"{6: [(1, 3, 2), (2, 3, 5), (3, 4, 3), (3, 6, 1), (4, 7, 4), (4, 8, 6)], 4: [(1, 6, 3), (2, 4, 1), (4, 7, 4), (7, 8, 2)], 5: [(1, 5, 5), (2, 8, 1), (3, 8, 3), (4, 5, 2), (4, 7, 4)]}"
4,8.494994878768921,1.5699357986450195,"['1', '5', '2', '4', '6', '7', '8', '3']",4,"{6: [(2, 5, 1), (3, 4, 6), (4, 5, 5), (4, 7, 4), (4, 8, 2), (6, 7, 3)], 4: [(2, 3, 3), (3, 5, 2), (5, 8, 4), (6, 8, 1)]}"
5,1.0538420677185059,1.255753993988037,"['1', '2', '3', '5', '8', '7', '4', '6']",3,"{6: [(3, 5, 1), (3, 5, 3), (3, 5, 6), (3, 8, 4), (4, 6, 5), (5, 6, 2)], 3: [(4, 5, 2), (4, 6, 1), (5, 8, 3)]}"
6,6.192985773086548,1.7373042106628418,"['5', '8', '1', '4', '7', '6', '3', '2']",4,"{6: [(1, 3, 2), (2, 8, 6), (3, 5, 1), (3, 5, 3), (4, 6, 5), (5, 7, 4)], 4: [(1, 5, 1), (2, 4, 4), (3, 5, 2), (4, 8, 3)], 5: [(1, 3, 2), (2, 8, 5), (3, 5, 1), (3, 5, 4), (3, 7, 3)]}"
7,2.7964580059051514,1.809488296508789,"['1', '4', '7', '8', '5', '2', '6', '3']",4,"{6: [(2, 4, 2), (3, 5, 4), (4, 5, 5), (4, 6, 3), (4, 8, 6), (5, 7, 1)], 4: [(2, 4, 2), (3, 7, 3), (6, 8, 1), (7, 8, 4)], 5: [(2, 4, 2), (3, 4, 3), (3, 5, 1), (3, 6, 5), (5, 8, 4)]}"
8,5.626686334609985,1.5343708992004397,"['8', '6', '7', '4', '3', '2', '5', '1']",4,"{6: [(1, 4, 1), (1, 4, 5), (1, 5, 3), (1, 8, 2), (1, 8, 4), (2, 6, 6)], 4: [(1, 8, 4), (2, 5, 1), (3, 5, 2), (6, 7, 3)]}"
9,6.402417898178101,1.593263864517212,"['1', '8', '7', '2', '4', '6', '3', '5']",4,"{6: [(2, 4, 2), (2, 8, 6), (4, 5, 1), (4, 5, 4), (4, 5, 5), (4, 6, 3)], 4: [(2, 4, 2), (2, 8, 4), (4, 5, 1), (4, 6, 3)], 5: [(2, 4, 2), (2, 8, 5), (3, 4, 4), (3, 6, 1), (4, 6, 3)]}"
