,elapsed_time,list,num_of_clauses,num_of_operations
0,0.16078805923461914,"['1', '2', '3', '4', '5']",10617,0
1,0.48326611518859863,"['1', '2', '3', '5', '4']",10617,1
2,0.46279096603393555,"['1', '2', '4', '3', '5']",10617,1
3,0.45294189453125,"['1', '2', '4', '5', '3']",10617,2
4,0.5755143165588379,"['1', '2', '5', '3', '4']",10617,2
5,0.4886300563812256,"['1', '2', '5', '4', '3']",10617,1
6,0.46898579597473145,"['1', '3', '2', '4', '5']",10617,1
7,0.4780309200286865,"['1', '3', '2', '5', '4']",10617,2
8,0.6141078472137451,"['1', '3', '4', '2', '5']",10617,2
9,0.4257180690765381,"['1', '3', '4', '5', '2']",10617,2
10,0.48845505714416504,"['1', '3', '5', '2', '4']",10617,3
11,0.46960020065307617,"['1', '3', '5', '4', '2']",10617,2
12,0.5215239524841309,"['1', '4', '2', '3', '5']",10617,2
13,0.5524070262908936,"['1', '4', '2', '5', '3']",10617,3
14,0.47295403480529785,"['1', '4', '3', '2', '5']",10617,1
15,0.4293100833892822,"['1', '4', '3', '5', '2']",10617,2
16,0.392775297164917,"['1', '4', '5', '2', '3']",10617,2
17,0.3968350887298584,"['1', '4', '5', '3', '2']",10617,2
18,0.36669111251831055,"['1', '5', '2', '3', '4']",10617,2
19,0.3914027214050293,"['1', '5', '2', '4', '3']",10617,2
20,0.4640648365020752,"['1', '5', '3', '2', '4']",10617,2
21,0.4855618476867676,"['1', '5', '3', '4', '2']",10617,2
22,0.43980908393859863,"['1', '5', '4', '2', '3']",10617,2
23,0.5096149444580078,"['1', '5', '4', '3', '2']",10617,1
24,0.5254092216491699,"['2', '1', '3', '4', '5']",10617,1
25,0.47457313537597656,"['2', '1', '3', '5', '4']",10617,2
26,0.41928791999816895,"['2', '1', '4', '3', '5']",10617,2
27,0.39072299003601074,"['2', '1', '4', '5', '3']",10617,3
28,0.38547587394714355,"['2', '1', '5', '3', '4']",10617,3
29,0.44583559036254883,"['2', '1', '5', '4', '3']",10617,2
30,0.41566014289855957,"['2', '3', '1', '4', '5']",10617,2
31,0.5318658351898193,"['2', '3', '1', '5', '4']",10617,3
32,0.44940805435180664,"['2', '3', '4', '1', '5']",10617,2
33,0.4680628776550293,"['2', '3', '4', '5', '1']",10617,2
34,0.390700101852417,"['2', '3', '5', '1', '4']",10617,3
35,0.39988207817077637,"['2', '3', '5', '4', '1']",10617,3
36,0.392549991607666,"['2', '4', '1', '3', '5']",10617,3
37,0.2912168502807617,"['2', '4', '1', '5', '3']",10617,4
38,0.42074108123779297,"['2', '4', '3', '1', '5']",10617,2
39,0.42742490768432617,"['2', '4', '3', '5', '1']",10617,3
40,0.38629817962646484,"['2', '4', '5', '1', '3']",10617,3
41,0.4337780475616455,"['2', '4', '5', '3', '1']",10617,3
42,0.4606049060821533,"['2', '5', '1', '3', '4']",10617,3
43,0.43989992141723633,"['2', '5', '1', '4', '3']",10617,3
44,0.3636341094970703,"['2', '5', '3', '1', '4']",10617,3
45,0.4112861156463623,"['2', '5', '3', '4', '1']",10617,3
46,0.39090514183044434,"['2', '5', '4', '1', '3']",10617,3
47,0.3916738033294678,"['2', '5', '4', '3', '1']",10617,2
48,0.4462161064147949,"['3', '1', '2', '4', '5']",10617,2
49,0.3993830680847168,"['3', '1', '2', '5', '4']",10617,3
50,0.4949769973754883,"['3', '1', '4', '2', '5']",10617,3
51,0.39618682861328125,"['3', '1', '4', '5', '2']",10617,3
52,0.2732279300689697,"['3', '1', '5', '2', '4']",10617,4
53,0.43064212799072266,"['3', '1', '5', '4', '2']",10617,3
54,0.5176329612731934,"['3', '2', '1', '4', '5']",10617,1
55,0.4642007350921631,"['3', '2', '1', '5', '4']",10617,2
56,0.4070167541503906,"['3', '2', '4', '1', '5']",10617,2
57,0.4184999465942383,"['3', '2', '4', '5', '1']",10617,3
58,0.39026308059692383,"['3', '2', '5', '1', '4']",10617,3
59,0.34985780715942383,"['3', '2', '5', '4', '1']",10617,2
60,0.4486992359161377,"['3', '4', '1', '2', '5']",10617,2
61,0.39279890060424805,"['3', '4', '1', '5', '2']",10617,3
62,0.5440959930419922,"['3', '4', '2', '1', '5']",10617,2
63,0.4004688262939453,"['3', '4', '2', '5', '1']",10617,3
64,0.42932724952697754,"['3', '4', '5', '1', '2']",10617,2
65,0.38781023025512695,"['3', '4', '5', '2', '1']",10617,2
66,0.3941650390625,"['3', '5', '1', '2', '4']",10617,3
67,0.4293208122253418,"['3', '5', '1', '4', '2']",10617,3
68,0.4388108253479004,"['3', '5', '2', '1', '4']",10617,3
69,0.4328041076660156,"['3', '5', '2', '4', '1']",10617,3
70,0.35251784324645996,"['3', '5', '4', '1', '2']",10617,2
71,0.3971693515777588,"['3', '5', '4', '2', '1']",10617,3
72,0.46422815322875977,"['4', '1', '2', '3', '5']",10617,2
73,0.3816657066345215,"['4', '1', '2', '5', '3']",10617,3
74,0.3969078063964844,"['4', '1', '3', '2', '5']",10617,2
75,0.3954288959503174,"['4', '1', '3', '5', '2']",10617,3
76,0.46728515625,"['4', '1', '5', '2', '3']",10617,3
77,0.3863351345062256,"['4', '1', '5', '3', '2']",10617,3
78,0.46170806884765625,"['4', '2', '1', '3', '5']",10617,2
79,0.48044300079345703,"['4', '2', '1', '5', '3']",10617,3
80,0.45041680335998535,"['4', '2', '3', '1', '5']",10617,2
81,0.5005080699920654,"['4', '2', '3', '5', '1']",10617,3
82,0.39719390869140625,"['4', '2', '5', '1', '3']",10617,3
83,0.36208009719848633,"['4', '2', '5', '3', '1']",10617,3
84,0.3709239959716797,"['4', '3', '1', '2', '5']",10617,2
85,0.46677708625793457,"['4', '3', '1', '5', '2']",10617,3
86,0.5907168388366699,"['4', '3', '2', '1', '5']",10617,1
