,elapsed_time,list,num_of_clauses,num_of_operations
0,0.9690079689025879,"['6', '1', '5', '3', '2', '4']",33897,3
1,1.0845510959625244,"['3', '1', '6', '2', '4', '5']",33897,4
2,1.7185101509094238,"['3', '5', '1', '2', '6', '4']",33897,3
3,1.1575417518615723,"['1', '3', '2', '6', '5', '4']",33897,2
4,1.1380698680877686,"['4', '3', '5', '1', '6', '2']",33897,3
5,0.9527239799499512,"['5', '1', '3', '2', '4', '6']",33897,3
6,1.4583773612976074,"['1', '2', '4', '3', '5', '6']",33897,1
7,1.1247401237487793,"['3', '4', '5', '6', '1', '2']",33897,2
8,0.9520409107208252,"['4', '2', '5', '6', '1', '3']",33897,4
9,1.2083258628845215,"['4', '6', '5', '1', '2', '3']",33897,2
